state,city,pollutant,value,year,month,day
Alaska,Fairbanks,CO,1.48,2014,10,299
Alaska,Fairbanks,NO2,21.4,2014,10,299
Alaska,Fairbanks,O3,0.023,2014,10,299
Alaska,Fairbanks,SO2,15.6,2014,10,299
Alaska,Fairbanks,CO,1.16,2014,10,300
Alaska,Fairbanks,NO2,32.7,2014,10,300
Alaska,Fairbanks,O3,0.013999999999999999,2014,10,300
Alaska,Fairbanks,SO2,13.15,2014,10,300
Alaska,Fairbanks,CO,1.705,2014,10,301
Alaska,Fairbanks,NO2,31.4,2014,10,301
Alaska,Fairbanks,O3,0.013999999999999999,2014,10,301
Alaska,Fairbanks,SO2,9.2,2014,10,301
Alaska,Fairbanks,CO,0.885,2014,10,302
Alaska,Fairbanks,NO2,23.0,2014,10,302
Alaska,Fairbanks,O3,0.02,2014,10,302
Alaska,Fairbanks,SO2,17.05,2014,10,302
Alaska,Fairbanks,CO,0.62,2014,10,303
Alaska,Fairbanks,NO2,14.8,2014,10,303
Alaska,Fairbanks,O3,0.019,2014,10,303
Alaska,Fairbanks,SO2,6.5,2014,10,303
Alaska,Fairbanks,CO,1.165,2014,10,304
Alaska,Fairbanks,NO2,28.5,2014,10,304
Alaska,Fairbanks,O3,0.019,2014,10,304
Alaska,Fairbanks,SO2,9.85,2014,10,304
Alaska,Fairbanks,CO,1.485,2014,11,305
Alaska,Fairbanks,NO2,31.2,2014,11,305
Alaska,Fairbanks,O3,0.027000000000000003,2014,11,305
Alaska,Fairbanks,SO2,18.85,2014,11,305
Alaska,Fairbanks,CO,0.875,2014,11,306
Alaska,Fairbanks,NO2,21.9,2014,11,306
Alaska,Fairbanks,O3,0.032,2014,11,306
Alaska,Fairbanks,SO2,9.75,2014,11,306
Alaska,Fairbanks,CO,1.175,2014,11,307
Alaska,Fairbanks,NO2,32.0,2014,11,307
Alaska,Fairbanks,O3,0.022000000000000002,2014,11,307
Alaska,Fairbanks,SO2,15.0,2014,11,307
Alaska,Fairbanks,CO,1.015,2014,11,308
Alaska,Fairbanks,NO2,26.0,2014,11,308
Alaska,Fairbanks,O3,0.013000000000000001,2014,11,308
Alaska,Fairbanks,SO2,11.1,2014,11,308
Alaska,Fairbanks,CO,1.385,2014,11,309
Alaska,Fairbanks,NO2,29.5,2014,11,309
Alaska,Fairbanks,O3,0.009000000000000001,2014,11,309
Alaska,Fairbanks,SO2,15.55,2014,11,309
Alaska,Fairbanks,CO,1.37,2014,11,310
Alaska,Fairbanks,NO2,35.1,2014,11,310
Alaska,Fairbanks,O3,0.013000000000000001,2014,11,310
Alaska,Fairbanks,SO2,19.75,2014,11,310
Alaska,Fairbanks,CO,1.46,2014,11,311
Alaska,Fairbanks,NO2,36.5,2014,11,311
Alaska,Fairbanks,O3,0.006,2014,11,311
Alaska,Fairbanks,SO2,20.35,2014,11,311
Alaska,Fairbanks,CO,1.7000000000000002,2014,11,312
Alaska,Fairbanks,NO2,26.6,2014,11,312
Alaska,Fairbanks,O3,0.008,2014,11,312
Alaska,Fairbanks,SO2,16.25,2014,11,312
Alaska,Fairbanks,CO,1.65,2014,11,313
Alaska,Fairbanks,NO2,32.3,2014,11,313
Alaska,Fairbanks,O3,0.019,2014,11,313
